budget,genres,homepage,popularity,production_companies,production_countries,runtime,spoken_languages,vote_average,vote_count,lang_english,year,holiday,revenue
54000000,4,0,9.651581,2,1,95,1,5.4,717,1,1996,1,128769345
80000000,3,0,11.995799,2,1,115,1,5.8,385,1,1996,1,159212469
30000000,2,0,12.09096,2,2,110,1,6.7,413,1,1996,0,29359216
5000000,3,0,9.069963,3,1,135,2,6.9,79,1,1996,1,13269963
32000000,4,0,5.575992,1,1,123,1,6.2,328,1,1996,0,152036382
3500000,2,0,10.827266,1,1,96,2,5.7,71,1,1996,0,9482579
40000000,3,0,13.309013,2,1,149,1,7,522,1,1996,0,152266007
25000000,3,0,3.906949,1,1,98,1,5.2,49,1,1996,0,17193231
13000000,3,0,9.490858,0,1,78,1,5,87,1,1996,0,4619014
26000000,1,0,10.177303,1,1,102,1,6.5,172,1,1996,0,116400000
80000000,2,0,8.772188,2,1,117,1,6.4,482,1,1996,1,309492681
50000000,4,0,15.874491,3,1,107,1,5.3,291,1,1996,0,60209334
36000000,3,0,10.034915,2,1,98,1,6.9,892,1,1996,0,33459416
6000000,3,1,6.593011,3,1,121,1,6.7,152,1,1996,0,22231658
13000000,3,0,6.554679,1,1,84,2,5.2,119,1,1996,0,17917287
15000000,2,0,3.450402,3,1,87,2,5,63,1,1996,0,5600000
6000000,2,0,1.19589,1,1,117,1,6.8,17,1,1996,0,12643776
50000000,4,1,12.229381,2,1,97,1,5.6,381,1,1996,0,42277365
2962051,2,0,4.797674,3,1,108,2,6.6,97,1,1996,0,3011195
45000000,3,0,6.24966,2,1,135,1,5.9,152,1,1996,0,53854588
200000,2,0,0.124273,1,2,109,1,6,1,1,1991,1,300000
6000000,2,1,41.109264,2,1,175,3,8.5,6024,1,1972,0,245066411
900000,3,0,6.751864,2,1,95,4,6.7,109,0,1992,0,20483423
500000,2,0,1.143656,1,1,88,1,6.3,9,1,1996,0,431326
4500000,4,0,12.449574,2,1,108,1,6.9,203,1,1996,0,7011317
60000000,3,0,7.699967,9,5,110,1,5.8,130,1,1997,0,33956608
40000000,3,0,12.725343,1,1,96,1,4.6,148,1,1996,0,49627779
25000000,4,0,7.859132,1,1,84,1,5.4,164,1,1996,0,22611954
5000000,2,0,8.768288,1,1,88,1,5,173,1,1995,0,15116634
2540800,3,0,11.064858,1,1,103,1,7.9,747,1,1952,1,7200000
